x	Y_20180212_14590_12_2g	Y_20180212_14590_14_1g	Y_20180212_14590_18_1g	Y_20180212_14590_18_2g	Y_20180212_14590_18_3g	Y_20180212_14590_19_1g	Y_20180212_14590_1_2g	Y_20180212_14590_38_1g	Y_20180212_14590_3_2g	Y_20180212_14590_40_4g	Y_20180212_14590_41_1g	Y_20180212_14590_9_1g
0	38003.766	37744.473	39547.301	38645.703	41864.926	40136.461	38614.875	36041.051	39766.168	39987.125	37972.051	37380.535
0.1334	37328.574	37758.305	39831.016	36689.387	44007.645	40374.574	40092.051	36722.676	39322.605	40088.23	37020.867	36757.004
0.2668	38493.613	37266.004	38884.605	35147.41	44132.434	42357.426	39304.664	36829.184	41840.078	41986.672	37642.207	38938.875
0.4003	38934.363	38533.23	39853.367	37961.672	43342.391	39309.688	39682.352	36479.617	41646.043	43117.242	38327.5	39546.477
0.5337	39661.02	38911.895	40222.641	38529.137	42580.562	41910.074	41353.848	35337.996	40828.207	40805.09	39532.016	40279.68
0.6671	38981.141	39964.797	39566.141	37242.961	42146.559	40278.648	40837.277	36485.742	40487.234	41886.434	39548.617	39652.469
0.8005	40815.664	39789.145	40151.438	38716.465	41825.418	40180.785	41368.973	36485.109	40678.508	42347.395	41037.512	39208.637
0.934	45713.77	38647.75	42681.359	39384	43626.664	42633.777	42549.152	37490.078	41925.027	41278.137	40354.199	38990.117
1.0674	54280.93	39533.691	44281.594	39428.375	43778.414	41121.184	43946.336	39072.398	40683.453	42166.484	41762.516	38882.152
1.2008	79042.617	39520.312	47316.359	40199.695	46524.555	44157.051	44216.66	41071.168	42387.875	45195.723	42678.773	40694.031
1.3342	102263.328	42916.809	57324.77	43328.953	54958.418	48650.297	46743.348	40888.062	44723.195	51345.492	40951.832	41744.395
1.4676	86440.242	45894.652	86294.312	53412.039	72913.406	62194.234	55724.895	47054.668	49364.648	65015.859	45384.996	43707.703
1.6011	62709.262	52976.066	136060.859	76804.203	95891.109	86102.609	71261.211	63145.332	63532.422	95337.117	55854.016	47010.062
1.7345	48508.988	71198.109	166106.625	101282.945	93940.18	97355.461	79473.211	103959.273	90184.719	100616.367	62748.008	49411.41
1.8679	44578.016	86284.922	130248.672	97543.859	70509.734	76053.203	67031.328	144762.188	96946.969	76795.641	57615.43	63471.367
2.0013	NaN	74858.234	82256.82	69618.312	57294.23	55664.77	51122.762	130316.227	73852.164	55753.902	49953.223	79306.453
2.1348	NaN	58602.598	57546.012	50248.062	52349.191	NaN	45363.316	88916.156	53641.926	46035.09	NaN	74321.117
2.2682	NaN	49544.199	48225.621	45731.023	54802.125	NaN	43748.105	60161.285	45167.125	42681.953	NaN	59443.305
2.4016	NaN	45376.141	NaN	NaN	NaN	NaN	NaN	51371.34	NaN	NaN	NaN	50275.883
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46733.199	NaN	NaN	NaN	44293.402
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	42675.957	NaN	NaN	NaN	43110.852
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41702.203	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
