x	Y_20180224_15100_13_2g	Y_20180224_15100_13_4g	Y_20180224_15100_28_10g
0	39346.797	39024.387	36652.621
0.1334	37570.062	39758.039	36861.594
0.2668	37062.871	38045.309	38942.121
0.4003	39952.738	39864.156	38429.598
0.5337	37131.586	40961.844	36940.469
0.6671	37474.793	40390.664	37330.59
0.8005	39036.918	41936.035	37878.453
0.934	38733.199	42327.691	37577.035
1.0674	38117.129	42178.797	38068.273
1.2008	39510.551	43539.504	37899.809
1.3342	39265.438	43639.453	37085.23
1.4676	39898.918	45976.852	36626.152
1.6011	40386.32	44663.059	37916.758
1.7345	38903.176	47361.727	38744.125
1.8679	39373.277	48597.18	38620.09
2.0013	40040.551	55427.312	41440.945
2.1348	41853.594	75386.438	47609.668
2.2682	45652.797	126850.867	58533.27
2.4016	54613.723	184316.062	65505.074
2.535	65824.391	185236.016	58018.598
2.6684	58765.324	121388.344	48725.836
2.8019	47330	75995.312	44294.84
2.9353	41526.301	56612.047	NaN
3.0687	39513.375	49358.113	NaN
3.2021	NaN	NaN	NaN
3.3356	NaN	NaN	NaN
3.469	NaN	NaN	NaN
3.6024	NaN	NaN	NaN
3.7358	NaN	NaN	NaN
3.8692	NaN	NaN	NaN
4.0027	NaN	NaN	NaN
4.1361	NaN	NaN	NaN
4.2695	NaN	NaN	NaN
4.4029	NaN	NaN	NaN
