x	Y_20181208_15100_11_1g	Y_20181208_15100_18_5g
0	9878.4287	10790.7568
0.1334	11184.6807	11475.2666
0.2668	13997.7422	12670.1533
0.4003	16799.4531	14849.9102
0.5337	18599.7129	14779.0322
0.6671	18062.6113	14601.2705
0.8005	16781.1719	14516.8379
0.934	15233.167	14569.0127
1.0674	15204.2598	14161.3828
1.2008	14417.6777	14981.2979
1.3342	13778.082	14652.458
1.4676	13735.6016	14529.7373
1.6011	14252.6914	14711.8613
1.7345	14603.5205	14597.9404
1.8679	14682.6484	15195.6445
2.0013	14815.5801	14576.4854
2.1347	14987.498	15031.0986
2.2682	14546.6865	15451.9062
2.4016	14482.3301	16452.3145
2.535	14904.0615	17091.3887
2.6684	14563.8867	16420.2617
2.8019	14085.5635	16204.2549
2.9353	14038.1133	15260.4854
3.0687	12874.5049	14340.873
3.2021	11249.0088	14276.2959
3.3355	11260.7891	14036.8174
3.469	10376.4961	14737.2373
3.6024	10796.0273	13228.9619
3.7358	10834.7275	11947.7344
3.8692	11139.2891	NaN
