0.0000	11051.9844
0.1334	11427.8359
0.2668	11569.1963
0.4003	11540.7627
0.5337	11118.5898
0.6671	10923.0234
0.8005	11487.2051
0.9340	11982.7021
1.0674	12225.3203
1.2008	11830.5703
1.3342	12518.8291
1.4676	13156.8027
1.6011	13775.7275
1.7345	14574.8262
1.8679	13849.7285
2.0013	13406.9805
2.1347	12400.9531
2.2682	12593.5811
2.4016	12315.7451
2.5350	12132.0205
2.6684	12697.0977
2.8019	12795.6826
2.9353	12825.9990
3.0687	14130.1621
3.2021	17111.8281
3.3355	17632.6484
3.4690	14891.5498
3.6024	12431.2881
3.7358	10727.3730
3.8692	10141.7021
