X,Y
0.00000,11449.688
0.13342,11372.619
0.26684,11530.749
0.40027,14309.407
0.53369,16670.188
0.66711,15720.506
0.80053,15181.583
0.93395,14513.033
1.06737,13718.552
1.20080,13085.595
1.33422,13945.994
1.46764,13300.260
1.60106,12431.725
1.73448,13326.993
1.86791,13708.473
2.00133,12730.075
2.13475,12486.900
2.26817,13122.698
2.40159,12890.567
2.53502,12928.091
2.66844,13165.830
2.80186,13131.630
2.93528,12735.734
3.06870,12726.114
3.20212,13090.850
3.33555,12865.704
3.46897,12710.682
3.60239,12680.582
3.73581,13081.959
3.86923,13267.557
4.00266,13814.407
4.13608,14562.820
4.26950,13319.129
4.40292,12960.042
4.53634,13126.007
4.66977,11795.927
4.80319,11485.409
4.93661,11626.073
