X,Y
0.00000,15337.298
0.13342,16075.890
0.26684,17128.426
0.40027,15803.419
0.53369,15368.722
0.66711,15549.629
0.80053,15270.636
0.93395,15110.844
1.06737,16419.809
1.20080,15691.226
1.33422,16447.531
1.46764,16350.571
1.60106,16496.258
1.73448,15016.843
1.86791,15674.701
2.00133,16366.680
2.13475,15855.137
2.26817,16560.652
2.40159,17327.590
2.53502,18180.127
2.66844,20844.324
2.80186,25317.578
2.93528,29122.449
3.06870,29818.922
3.20212,28120.172
3.33555,21578.551
3.46897,18936.811
3.60239,16206.124
3.73581,15875.941
