X,Y
0.00000,12639.715
0.13342,13697.552
0.26684,17063.473
0.40027,22881.627
0.53369,28159.938
0.66711,29553.920
0.80053,28326.199
0.93395,23512.156
1.06737,22537.488
1.20080,21254.814
1.33422,19055.299
1.46764,17429.207
1.60106,18432.771
1.73448,17982.154
1.86791,18396.451
2.00133,19987.469
2.13475,20727.799
2.26817,21058.166
2.40159,21262.523
2.53502,20267.947
2.66844,18918.699
2.80186,18408.998
2.93528,18036.156
3.06870,17239.863
3.20212,16467.996
3.33555,16614.078
3.46897,16754.799
3.60239,16464.529
3.73581,15854.770
3.86923,15680.019
4.00266,15442.419
