X,Y
0.00000,12152.119
0.13342,12260.564
0.26684,13883.239
0.40027,16824.215
0.53369,17695.135
0.66711,18000.061
0.80053,17239.846
0.93395,16704.928
1.06737,16768.619
1.20080,15850.027
1.33422,16730.682
1.46764,17831.572
1.60106,18145.971
1.73448,17923.539
1.86791,17877.748
2.00133,17396.096
2.13475,17059.676
2.26817,16811.818
2.40159,16487.297
2.53502,16451.703
2.66844,15817.766
2.80186,16251.423
2.93528,16303.615
3.06870,16196.214
3.20212,15248.115
3.33555,14485.994
3.46897,13952.142
3.60239,13881.406
3.73581,12871.863
3.86923,14007.253
4.00266,14069.769
