X,Y
0.00000,35830.414
0.13342,36822.004
0.26684,37774.023
0.40027,38628.531
0.53369,40188.020
0.66711,40144.453
0.80053,38791.902
0.93395,40791.902
1.06737,41177.891
1.20080,41652.223
1.33422,41211.859
1.46764,39760.102
1.60106,39503.215
1.73448,36412.117
1.86791,37808.660
2.00133,38138.496
2.13475,38262.465
2.26817,39038.852
2.40159,41978.074
2.53502,37412.285
2.66844,39276.531
2.80186,38359.941
2.93528,38921.051
3.06870,40471.582
3.20212,39951.566
3.33555,43619.836
3.46897,51669.281
3.60239,66545.891
3.73581,73360.797
3.86923,61766.930
4.00266,49265.535
4.13608,46547.699
