X,Y
0.00000,36593.781
0.13342,36837.184
0.26684,36708.660
0.40027,37446.926
0.53369,37819.047
0.66711,38372.363
0.80053,37982.363
0.93395,36080.262
1.06737,36405.930
1.20080,37067.895
1.33422,36902.230
1.46764,35518.113
1.60106,37636.562
1.73448,35749.996
1.86791,34504.773
2.00133,35209.773
2.13475,36900.238
2.26817,35608.121
2.40159,36255.438
2.53502,36833.391
2.66844,43639.438
2.80186,56970.617
2.93528,84474.422
3.06870,99038.773
3.20212,79887.648
3.33555,52833.348
3.46897,42064.504
3.60239,39703.520
